Player,MP
Mikal Bridges,2963.0
Anthony Edwards,2842.0
Zach LaVine,2768.0
Nikola Vučević,2746.0
Julius Randle,2737.0
Domantas Sabonis,2736.0
Jayson Tatum,2732.0
Spencer Dinwiddie,2725.0
Spencer Dinwiddie,1808.0
Spencer Dinwiddie,917.0
Evan Mobley,2715.0
Dejounte Murray,2693.0
DeMar DeRozan,2682.0
Scottie Barnes,2678.0
Harrison Barnes,2662.0
Pascal Siakam,2652.0
CJ McCollum,2649.0
Franz Wagner,2609.0
Jalen Green,2602.0
Bam Adebayo,2598.0
Trae Young,2541.0
Fred VanVleet,2535.0
Buddy Hield,2482.0
RJ Barrett,2475.0
Jordan Poole,2458.0
Josh Hart,2454.0
Josh Hart,1704.0
Josh Hart,750.0
Jabari Smith Jr.,2451.0
Trey Murphy III,2448.0
Darius Garland,2447.0
Tobias Harris,2436.0
De'Aaron Fox,2435.0
Donovan Mitchell,2432.0
Paolo Banchero,2430.0
Jaden McDaniels,2416.0
Shai Gilgeous-Alexander,2416.0
Royce O'Neale,2409.0
Jaylen Brown,2405.0
Luka Dončić,2391.0
OG Anunoby,2386.0
Keegan Murray,2382.0
Kentavious Caldwell-Pope,2381.0
P.J. Washington,2380.0
Jalen Brunson,2379.0
Brook Lopez,2373.0
Josh Giddey,2367.0
Reggie Bullock,2364.0
Immanuel Quickley,2344.0
Tyler Herro,2337.0
Patrick Williams,2323.0
Nikola Jokić,2323.0
Derrick White,2319.0
Jaden Ivey,2304.0
D'Angelo Russell,2304.0
D'Angelo Russell,1778.0
D'Angelo Russell,526.0
Draymond Green,2297.0
KJ Martin,2292.0
Joel Embiid,2284.0
Bruce Brown,2280.0
Klay Thompson,2279.0
Jalen Williams,2276.0
Lauri Markkanen,2273.0
Max Strus,2272.0
Luguentz Dort,2272.0
Nic Claxton,2271.0
Jerami Grant,2246.0
Kyrie Irving,2241.0
Kyrie Irving,1478.0
Kyrie Irving,763.0
Kyle Kuzma,2239.0
Caris LeVert,2237.0
Bennedict Mathurin,2222.0
Terry Rozier,2221.0
Jarrett Allen,2220.0
Dillon Brooks,2214.0
Kevin Huerter,2203.0
Jrue Holiday,2183.0
Alperen Şengün,2171.0
Anfernee Simons,2171.0
Ivica Zubac,2170.0
Killian Hayes,2154.0
Tim Hardaway Jr.,2152.0
De'Anthony Melton,2150.0
Rudy Gobert,2148.0
Jimmy Butler,2138.0
James Harden,2135.0
Jamal Murray,2133.0
John Collins,2130.0
Saddiq Bey,2129.0
Saddiq Bey,1500.0
Saddiq Bey,629.0
De'Andre Hunter,2126.0
Russell Westbrook,2126.0
Russell Westbrook,1491.0
Russell Westbrook,635.0
Quentin Grimes,2121.0
Kristaps Porziņģis,2120.0
Gary Trent Jr.,2118.0
Damian Lillard,2107.0
Ayo Dosunmu,2098.0
Corey Kispert,2093.0
Malik Beasley,2093.0
Malik Beasley,1472.0
Malik Beasley,621.0
Caleb Martin,2077.0
Andrew Nembhard,2073.0
Keldon Johnson,2063.0
Aaron Gordon,2055.0
Mason Plumlee,2054.0
Mason Plumlee,1597.0
Mason Plumlee,457.0
Grant Williams,2045.0
Deandre Ayton,2035.0
Mike Conley,2029.0
Mike Conley,1276.0
Mike Conley,753.0
Giannis Antetokounmpo,2024.0
Kevin Porter Jr.,2024.0
Deni Avdija,2020.0
Tyrese Maxey,2016.0
